implementation,width,height,max_iter,repeats,mean_time_s,std_time_s
naive,100,100,100,3,0.2727876549276213,0.05837220436008542
numpy,100,100,100,3,0.03226877593745788,0.009091555478725689
numba,100,100,100,3,0.0023311320692300797,0.0019006381446507617
naive,200,200,100,3,0.8569861147552729,0.08085552624694198
numpy,200,200,100,3,0.18348051801634332,0.12609746439170566
numba,200,200,100,3,0.011474544648081064,0.004793398839716729
naive,400,400,100,3,8.608538183383644,9.521386296757203
numpy,400,400,100,3,1.437896301659445,0.30800920191850784
numba,400,400,100,3,0.08263176764982443,0.004636003641699448
naive,800,800,100,3,10.038279688994711,2.8777783905193597
numpy,800,800,100,3,104.11294787858303,45.22040472247492
numba,800,800,100,3,0.19036926499878368,0.1300405152276488
numpy,1200,1200,100,3,2.789043410991629,1.726242442749151
numba,1200,1200,100,3,0.144918163617452,0.003910765309421548
