N,max_iter,workers,chunk_rows,chunk_cols,time_s,baseline_time_s,speedup
1024,200,1,256,256,5.026168080046773,5.026168080046773,1.0
1024,200,2,256,256,5.898380172904581,5.026168080046773,0.8521268437622089
1024,200,4,256,256,7.587722947821021,5.026168080046773,0.6624079601496449
1024,200,8,256,256,10.71601700084284,5.026168080046773,0.4690332312510752
2048,200,1,128,128,11.545525890775025,11.545525890775025,1.0
2048,200,2,128,128,15.27102679060772,11.545525890775025,0.7560412308277774
2048,200,4,128,128,22.734231354668736,11.545525890775025,0.5078476466020487
2048,200,8,128,128,30.485505426302552,11.545525890775025,0.3787218131805574
4096,200,1,256,256,30.04709827899933,30.04709827899933,1.0
4096,200,2,256,256,41.821329975966364,30.04709827899933,0.7184634801491635
4096,200,4,256,256,59.72483543585986,30.04709827899933,0.5030921903714198
4096,200,8,256,256,100.61589435208589,30.04709827899933,0.29863172685078276
