N,max_iter,workers,chunk_rows,chunk_cols,time_s
1024,200,1,64,64,7.146817804314196
1024,200,1,128,128,5.459026505239308
1024,200,1,256,256,5.026168080046773
1024,200,1,512,512,6.663722932804376
1024,200,2,64,64,9.289988979231566
1024,200,2,128,128,5.9079000554047525
1024,200,2,256,256,5.898380172904581
1024,200,2,512,512,7.707546601071954
1024,200,4,64,64,9.838506992906332
1024,200,4,128,128,8.02090566791594
1024,200,4,256,256,7.587722947821021
1024,200,4,512,512,9.761466891039163
1024,200,8,64,64,14.352114017121494
1024,200,8,128,128,10.755258006043732
1024,200,8,256,256,10.71601700084284
1024,200,8,512,512,15.043853195849806
2048,200,1,64,64,25.664130798075348
2048,200,1,128,128,11.545525890775025
2048,200,1,256,256,13.576032686978579
2048,200,1,512,512,17.4916011961177
2048,200,2,64,64,32.01834065513685
2048,200,2,128,128,15.27102679060772
2048,200,2,256,256,17.75754502089694
2048,200,2,512,512,21.961969487834722
2048,200,4,64,64,38.96649565640837
2048,200,4,128,128,22.734231354668736
2048,200,4,256,256,25.745921659749
2048,200,4,512,512,28.404320700094104
2048,200,8,64,64,50.7349666422233
2048,200,8,128,128,30.485505426302552
2048,200,8,256,256,32.19624013500288
2048,200,8,512,512,39.0809660712257
4096,200,1,64,64,96.57112218765542
4096,200,1,128,128,40.96286653727293
4096,200,1,256,256,30.04709827899933
4096,200,1,512,512,45.216641002800316
4096,200,2,64,64,119.90174002340063
4096,200,2,128,128,52.37010348588228
4096,200,2,256,256,41.821329975966364
4096,200,2,512,512,65.72358207218349
4096,200,4,64,64,141.08999311970547
4096,200,4,128,128,72.90663673216477
4096,200,4,256,256,59.72483543585986
4096,200,4,512,512,89.94717695284635
4096,200,8,64,64,197.68806876102462
4096,200,8,128,128,108.67655296437442
4096,200,8,256,256,100.61589435208589
4096,200,8,512,512,118.70903700403869
