N,max_iter,P,chunk_rows,time_s,baseline_time_s,speedup
1024,200,1,64,1.7244260162115097,1.7244260162115097,1.0
1024,200,2,32,1.8665748909115791,1.7244260162115097,0.9238450729235684
1024,200,4,32,2.029961916152388,1.7244260162115097,0.84948688075883
1024,200,8,32,2.0642981100827456,1.7244260162115097,0.8353570677552903
2048,200,1,32,6.590750160161406,6.590750160161406,1.0
2048,200,2,16,6.893626588862389,6.590750160161406,0.9560642827404776
2048,200,4,16,7.4233154291287065,6.590750160161406,0.8878445518157079
2048,200,8,16,7.427027505356818,6.590750160161406,0.8874008013849095
4096,200,1,16,25.11551292706281,25.11551292706281,1.0
4096,200,2,8,26.41679094126448,25.11551292706281,0.9507404961830923
4096,200,4,8,28.233573849778622,25.11551292706281,0.8895619470880318
4096,200,8,8,27.9981904970482,25.11551292706281,0.8970405758797411
