N,max_iter,P,chunk_rows,time_s
1024,200,1,8,2.220595216844231
1024,200,1,16,1.9251910238526762
1024,200,1,32,1.7821282288059592
1024,200,1,64,1.7244260162115097
1024,200,1,128,1.8451125109568238
1024,200,1,256,2.414669439662248
1024,200,1,512,2.53200331190601
1024,200,2,8,2.2473440398462117
1024,200,2,16,1.9540354628115892
1024,200,2,32,1.8665748909115791
1024,200,2,64,1.8837436828762293
1024,200,2,128,2.08466860326007
1024,200,2,256,2.680508135817945
1024,200,2,512,2.7015036582015455
1024,200,4,8,2.2551046358421445
1024,200,4,16,2.038102102931589
1024,200,4,32,2.029961916152388
1024,200,4,64,2.095720251556486
1024,200,4,128,2.2465621568262577
1024,200,4,256,2.750599849037826
1024,200,4,512,2.74751796387136
1024,200,8,8,2.336657996289432
1024,200,8,16,2.1213105460628867
1024,200,8,32,2.0642981100827456
1024,200,8,64,2.107452207710594
1024,200,8,128,2.2997607341967523
1024,200,8,256,2.7956188558600843
1024,200,8,512,2.8284482546150684
2048,200,1,8,7.160475654993206
2048,200,1,16,6.644063540734351
2048,200,1,32,6.590750160161406
2048,200,1,64,6.958812084980309
2048,200,1,128,7.715085863135755
2048,200,1,256,8.59479210106656
2048,200,1,512,10.595571839250624
2048,200,2,8,7.2719400259666145
2048,200,2,16,6.893626588862389
2048,200,2,32,7.166294497903436
2048,200,2,64,7.90870368713513
2048,200,2,128,8.533176738768816
2048,200,2,256,9.011912344023585
2048,200,2,512,10.737565654329956
2048,200,4,8,7.53690095199272
2048,200,4,16,7.4233154291287065
2048,200,4,32,7.8297079349868
2048,200,4,64,8.473093701992184
2048,200,4,128,8.83341153897345
2048,200,4,256,9.101009735837579
2048,200,4,512,10.824060574173927
2048,200,8,8,7.663872534874827
2048,200,8,16,7.427027505356818
2048,200,8,32,7.604384168051183
2048,200,8,64,8.212886784691364
2048,200,8,128,8.811752459965646
2048,200,8,256,9.497360569424927
2048,200,8,512,11.015569916926324
4096,200,1,8,25.558009881991893
4096,200,1,16,25.11551292706281
4096,200,1,32,26.634670592844486
4096,200,1,64,29.97805270086974
4096,200,1,128,33.56058645667508
4096,200,1,256,34.97898860089481
4096,200,1,512,35.418025333900005
4096,200,2,8,26.41679094126448
4096,200,2,16,27.31938587781042
4096,200,2,32,30.31516208127141
4096,200,2,64,33.69682844309136
4096,200,2,128,35.47879300406203
4096,200,2,256,36.01440181629732
4096,200,2,512,36.285441196057945
4096,200,4,8,28.233573849778622
4096,200,4,16,30.012751379981637
4096,200,4,32,32.449533108156174
4096,200,4,64,34.901893510017544
4096,200,4,128,36.38148638326675
4096,200,4,256,36.57773273810744
4096,200,4,512,36.73354443535209
4096,200,8,8,27.9981904970482
4096,200,8,16,28.848081816919148
4096,200,8,32,30.797177042346448
4096,200,8,64,33.595985499210656
4096,200,8,128,35.77977516502142
4096,200,8,256,36.44588929601014
4096,200,8,512,37.18786651175469
